            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
           0.2135           -0.085                0      1.57853e+06      3.56567e+06          1535.07
           0.2235           -0.085                0      1.69621e+06      4.21098e+06          7746.18
           0.2335           -0.085                0      1.47756e+06      4.93683e+06          9585.04
           0.2435           -0.085                0      1.11856e+06      5.53771e+06         -13438.9
           0.2535           -0.085                0           597127      5.94784e+06         -29903.4
           0.2635           -0.085                0         -40925.1      6.07718e+06          3365.14
           0.2735           -0.085                0          -640513       5.8743e+06           1971.2
           0.2835           -0.085                0      -1.1948e+06      5.50951e+06         -13666.3
           0.2935           -0.085                0     -1.60046e+06      4.87718e+06          7271.69
           0.3035           -0.085                0     -1.80815e+06      4.24789e+06            21811
           0.3135           -0.085                0     -1.85159e+06      3.48009e+06          1474.28
           0.3235           -0.085                0      -1.7746e+06      2.90364e+06          23829.8
           0.3335           -0.085                0     -1.56132e+06      2.26588e+06          10094.4
           0.3435           -0.085                0     -1.43741e+06      1.83344e+06         -9188.01
           0.3535           -0.085                0     -1.25248e+06      1.42382e+06         -6303.27
           0.3635           -0.085                0     -1.09533e+06      1.09594e+06         -4563.05
           0.3735           -0.085                0          -919783           819471          3860.49
           0.3835           -0.085                0          -756489           611228          2781.64
           0.3935           -0.085                0          -619708           444300         -4283.23
           0.4035           -0.085                0          -527018           300629         -773.791
           0.4135           -0.085                0          -414657           207696          1268.44
           0.4235           -0.085                0          -352855           119016         -253.739
           0.4335           -0.085                0          -306182          67813.7          157.944
           0.4435           -0.085                0          -287774          16919.6          76.4105
           0.0035           -0.075                0           349979          29140.8         -47.5806
           0.0135           -0.075                0           350851           111463          1155.31
           0.0235           -0.075                0           357266           194155         -347.873
           0.0335           -0.075                0           364575           277649          312.953
           0.0435           -0.075                0           376184           362908          182.884
           0.0535           -0.075                0           391582           450789         -230.338
           0.0635           -0.075                0           411524           542698         -96.6294
           0.0735           -0.075                0           435871           639082          1104.02
           0.0835           -0.075                0           466232           742107         -951.018
           0.0935           -0.075                0           501101           850331          1543.18
           0.1035           -0.075                0           543404           965850          3159.69
           0.1135           -0.075                0           595196      1.09667e+06         -1078.66
           0.1235           -0.075                0           652541      1.23073e+06          6244.88
           0.1335           -0.075                0           720293      1.37308e+06          6912.52
           0.1435           -0.075                0           804602      1.53433e+06         -1381.14
           0.1535           -0.075                0           902043      1.70841e+06           2421.4
           0.1635           -0.075                0      1.03029e+06      1.91271e+06         -3988.78
           0.1735           -0.075                0      1.18491e+06      2.14397e+06         -6353.02
           0.1835           -0.075                0      1.36091e+06      2.41226e+06          5977.67
           0.1935           -0.075                0      1.61741e+06      2.72141e+06          3672.13
           0.2035           -0.075                0      1.91053e+06      3.24815e+06          5335.27
           0.2135           -0.075                0       2.2756e+06      3.79596e+06          6604.82
           0.2235           -0.075                0      2.52381e+06      4.77305e+06          16264.1
           0.2335           -0.075                0      2.32576e+06      5.85633e+06         -1475.89
           0.2435           -0.075                0      1.79282e+06      6.87713e+06         -6327.84
           0.2535           -0.075                0           939546      7.50576e+06          71.4922
           0.2635           -0.075                0         -52757.4      7.73297e+06         -4670.47
           0.2735           -0.075                0     -1.00275e+06      7.50056e+06         -423.402
           0.2835           -0.075                0     -1.84168e+06      6.87066e+06         -1585.16
           0.2935           -0.075                0     -2.43287e+06      5.95975e+06         -15813.7
           0.3035           -0.075                0     -2.65125e+06      4.88844e+06          4012.93
           0.3135           -0.075                0     -2.61832e+06      3.82904e+06         -11920.6
           0.3235           -0.075                0      -2.4654e+06      3.02546e+06          1376.23
           0.3335           -0.075                0     -2.20112e+06      2.37052e+06          16263.6
           0.3435           -0.075                0     -1.85129e+06      1.78489e+06          4109.18
           0.3535           -0.075                0       -1.583e+06      1.39068e+06         -6091.62
           0.3635           -0.075                0      -1.4146e+06      1.04814e+06          1418.97
           0.3735           -0.075                0     -1.17457e+06           760568          3561.43
           0.3835           -0.075                0          -969860           514048           2414.6
           0.3935           -0.075                0          -779964           358098          3136.43
           0.4035           -0.075                0          -648609           239460         -4916.27
           0.4135           -0.075                0          -518048           136426         -469.916
           0.4235           -0.075                0          -406040          75760.3          2193.97
           0.4335           -0.075                0          -351920          37824.8         -60.3221
           0.4435           -0.075                0          -325227          8543.64          16.9176
           0.0035           -0.065                0           440045          34875.8         -144.553
           0.0135           -0.065                0           433337           125212         -69.5227
           0.0235           -0.065                0           443851           215132         -36.1137
           0.0335           -0.065                0           453491           308546         -4.61588
           0.0435           -0.065                0           466806           402586         -240.855
           0.0535           -0.065                0           485427           499579          704.057
           0.0635           -0.065                0           509853           601007         -312.101
           0.0735           -0.065                0           538747           704705         -762.733
           0.0835           -0.065                0           574252           815168          453.349
           0.0935           -0.065                0           617817           935131          -440.89
           0.1035           -0.065                0           668825      1.06137e+06         -978.516
           0.1135           -0.065                0           727939      1.19609e+06          2888.74
