Sample#, X-Step size = 1.6631, Y-Step size = 3.2239 ; 
#357, -24, -7 ; 
#358, -23, -7 ; 
#359, -22, -7 ; 
#360, -21, -7 ; 
#361, -21, -7 ; 
#362, -20, -7 ; 
#363, -19, -7 ; 
#364, -18, -7 ; 
#365, -18, -7 ; 
#366, -17, -7 ; 
#367, -16, -7 ; 
#368, -15, -7 ; 
#369, -14, -7 ; 
#370, -13, -7 ; 
#371, -12, -7 ; 
#372, -11, -7 ; 
#373, -10, -7 ; 
#374, -9, -7 ; 
#375, -8, -7 ; 
#376, -7, -7 ; 
#377, -6, -7 ; 
#378, -5, -7 ; 
#379, -4, -7 ; 
#380, -3, -7 ; 
#381, -2, -7 ; 
#382, -1, -7 ; 
#383, 1, -7 ; 
#384, 2, -7 ; 
#385, 3, -7 ; 
#386, 4, -7 ; 
#387, 5, -7 ; 
#388, 6, -7 ; 
#389, 7, -6 ; 
#390, 9, -6 ; 
#391, 10, -6 ; 
#392, 11, -6 ; 
#393, 12, -6 ; 
#394, 13, -6 ; 
#395, 15, -6 ; 
#396, 16, -6 ; 
#397, 17, -6 ; 
#398, 18, -6 ; 
#399, 20, -6 ; 
#400, 21, -6 ; 
#401, 22, -6 ; 
#402, 24, -6 ; 
#403, 25, -6 ; 
#404, 26, -6 ; 
#405, 27, -6 ; 
#406, 29, -6 ; 
#407, 30, -6 ; 
#408, 31, -6 ; 
#409, 33, -6 ; 
#410, 34, -6 ; 
#411, 35, -6 ; 
#412, 37, -6 ; 
#413, 38, -6 ; 
#414, 40, -6 ; 
#415, 41, -6 ; 
#416, 43, -6 ; 
#417, 44, -6 ; 
#418, 45, -6 ; 
#419, 47, -6 ; 
#420, 48, -6 ; 
#421, 50, -6 ; 
#422, 51, -6 ; 
#423, 53, -6 ; 
#424, 54, -6 ; 
#425, 56, -6 ; 
#426, 57, -6 ; 
#427, 58, -6 ; 
#428, 60, -6 ; 
#429, 61, -6 ; 
#430, 63, -6 ; 
#431, 64, -6 ; 
#432, 65, -6 ; 
#433, 67, -6 ; 
#434, 68, -6 ; 
#435, 70, -6 ; 
#436, 71, -6 ; 
#437, 73, -6 ; 
#438, 74, -6 ; 
#439, 76, -6 ; 
#440, 77, -6 ; 
#441, 78, -6 ; 
#442, 80, -6 ; 
#443, 81, -6 ; 
#444, 83, -6 ; 
#445, 84, -6 ; 
#446, 85, -6 ; 
#447, 87, -6 ; 
#448, 88, -6 ; 
#449, 90, -6 ; 
#450, 91, -6 ; 
#451, 92, -6 ; 
#452, 94, -6 ; 
#453, 95, -6 ; 
#454, 97, -6 ; 
#455, 98, -6 ; 
#456, 99, -6 ; 
#457, 100, -6 ; 
#458, 102, -6 ; 
#459, 103, -6 ; 
#460, 104, -6 ; 
#461, 106, -6 ; 
#462, 107, -6 ; 
#463, 108, -6 ; 
#464, 109, -6 ; 
#465, 111, -6 ; 
#466, 112, -6 ; 
#467, 113, -6 ; 
#468, 114, -6 ; 
#469, 115, -6 ; 
#470, 117, -6 ; 
#471, 118, -6 ; 
#472, 119, -6 ; 
#473, 120, -6 ; 
#474, 121, -6 ; 
#475, 122, -5 ; 
#476, 123, -5 ; 
#477, 124, -5 ; 
#478, 125, -5 ; 
#479, 126, -5 ; 
#480, 127, -5 ; 
#481, 128, -5 ; 
#482, 129, -5 ; 
#483, 130, -5 ; 
#484, 131, -5 ; 
#485, 132, -5 ; 
#486, 133, -5 ; 
#487, 134, -5 ; 
#488, 134, -5 ; 
#489, 135, -5 ; 
#490, 136, -5 ; 
#491, 137, -5 ; 
#492, 137, -5 ; 
#493, 138, -5 ; 
#494, 139, -5 ; 
#495, 139, -5 ; 
#496, 140, -5 ; 
#497, 140, -5 ; 
#498, 141, -5 ; 
#499, 142, -5 ; 
#500, 142, -5 ; 
#501, 143, -5 ; 
#502, 143, -5 ; 
#503, 144, -5 ; 
#504, 144, -5 ; 
#505, 144, -5 ; 
#506, 145, -5 ; 
#507, 145, -5 ; 
#508, 145, -5 ; 
#509, 146, -5 ; 
#510, 146, -5 ; 
#511, 146, -5 ; 
#512, 147, -5 ; 
#513, 147, -5 ; 
#514, 147, -5 ; 
#515, 147, -5 ; 
#516, 147, -5 ; 
#517, 148, -5 ; 
#518, 148, -5 ; 
#519, 148, -5 ; 
#520, 148, -5 ; 
#521, 148, -5 ; 
#522, 148, -5 ; 
#523, 148, -5 ; 
#524, 148, -5 ; 
#525, 148, -5 ; 
#526, 147, -5 ; 
#527, 147, -5 ; 
#528, 147, -5 ; 
#529, 147, -5 ; 
#530, 147, -5 ; 
#531, 147, -5 ; 
#532, 146, -5 ; 
#533, 146, -5 ; 
#534, 146, -5 ; 
#535, 146, -5 ; 
#536, 145, -5 ; 
#537, 145, -5 ; 
#538, 145, -5 ; 
#539, 144, -5 ; 
#540, 144, -5 ; 
#541, 143, -5 ; 
#542, 143, -5 ; 
#543, 142, -5 ; 
#544, 142, -5 ; 
#545, 141, -5 ; 
#546, 140, -5 ; 
#547, 140, -5 ; 
#548, 139, -5 ; 
#549, 139, -5 ; 
#550, 138, -5 ; 
#551, 137, -5 ; 
#552, 136, -5 ; 
#553, 136, -5 ; 
#554, 135, -5 ; 
#555, 134, -4 ; 
#556, 133, -4 ; 
#557, 132, -4 ; 
#558, 131, -4 ; 
#559, 130, -4 ; 
#560, 129, -4 ; 
#561, 129, -4 ; 
#562, 128, -4 ; 
#563, 127, -4 ; 
#564, 126, -4 ; 
#565, 125, -4 ; 
#566, 123, -4 ; 
#567, 122, -4 ; 
#568, 121, -4 ; 
#569, 120, -4 ; 
#570, 119, -4 ; 
#571, 118, -4 ; 
#572, 117, -4 ; 
#573, 116, -4 ; 
#574, 114, -4 ; 
#575, 113, -4 ; 
#576, 112, -4 ; 
#577, 111, -4 ; 
#578, 110, -4 ; 
#579, 109, -4 ; 
#580, 107, -4 ; 
#581, 106, -4 ; 
#582, 105, -4 ; 
#583, 103, -4 ; 
#584, 102, -4 ; 
#585, 101, -4 ; 
#586, 100, -4 ; 
#587, 98, -4 ; 
#588, 97, -4 ; 
#589, 96, -4 ; 
#590, 95, -3 ; 
#591, 94, -3 ; 
#592, 92, -3 ; 
#593, 91, -3 ; 
#594, 90, -3 ; 
#595, 88, -3 ; 
#596, 87, -3 ; 
#597, 86, -3 ; 
#598, 84, -3 ; 
#599, 83, -3 ; 
#600, 82, -3 ; 
#601, 80, -3 ; 
#602, 79, -3 ; 
#603, 78, -3 ; 
#604, 76, -3 ; 
#605, 75, -3 ; 
#606, 74, -3 ; 
#607, 72, -3 ; 
#608, 71, -3 ; 
#609, 70, -3 ; 
#610, 68, -3 ; 
#611, 67, -3 ; 
#612, 66, -3 ; 
#613, 65, -3 ; 
#614, 64, -3 ; 
#615, 63, -3 ; 
#616, 61, -3 ; 
#617, 60, -3 ; 
#618, 59, -3 ; 
#619, 58, -3 ; 
#620, 56, -3 ; 
#621, 55, -2 ; 
#622, 54, -2 ; 
#623, 53, -2 ; 
#624, 51, -2 ; 
#625, 50, -2 ; 
#626, 49, -2 ; 
#627, 48, -2 ; 
#628, 47, -2 ; 
#629, 46, -2 ; 
#630, 45, -2 ; 
#631, 44, -2 ; 
#632, 43, -2 ; 
#633, 42, -1 ; 
#634, 41, -1 ; 
#635, 40, -1 ; 
#636, 39, -1 ; 
#637, 38, -1 ; 
#638, 37, -1 ; 
#639, 36, -1 ; 
#640, 35, -1 ; 
#641, 35, -1 ; 
#642, 34, -1 ; 
#643, 33, -1 ; 
#644, 33, -1 ; 
#645, 32, 0 ; 
#646, 31, 0 ; 
#647, 30, 0 ; 
#648, 30, 0 ; 
#649, 29, 0 ; 
#650, 29, 0 ; 
#651, 28, 0 ; 
#652, 28, 0 ; 
#653, 27, 0 ; 
#654, 27, 0 ; 
#655, 26, 0 ; 
#656, 26, 0 ; 
#657, 26, 0 ; 
#658, 25, 0 ; 
#659, 25, 0 ; 
#660, 25, 0 ; 
#661, 25, 0 ; 
#662, 25, 0 ; 
#663, 25, 1 ; 
#664, 25, 1 ; 
#665, 25, 1 ; 
#666, 25, 1 ; 
#667, 25, 1 ; 
#668, 25, 1 ; 
#669, 26, 1 ; 
#670, 26, 1 ; 
#671, 26, 2 ; 
#672, 27, 2 ; 
#673, 27, 2 ; 
#674, 28, 2 ; 
#675, 28, 2 ; 
#676, 29, 2 ; 
#677, 29, 2 ; 
#678, 30, 2 ; 
#679, 31, 2 ; 
#680, 32, 2 ; 
#681, 32, 3 ; 
#682, 33, 3 ; 
#683, 34, 3 ; 
#684, 35, 3 ; 
#685, 36, 3 ; 
#686, 38, 3 ; 
#687, 39, 3 ; 
#688, 40, 3 ; 
#689, 42, 3 ; 
#690, 43, 3 ; 
#691, 44, 3 ; 
#692, 46, 3 ; 
#693, 47, 4 ; 
#694, 49, 4 ; 
#695, 51, 4 ; 
#696, 53, 4 ; 
#697, 55, 4 ; 
#698, 57, 4 ; 
#699, 59, 5 ; 
#700, 61, 5 ; 
#701, 63, 5 ; 
#702, 65, 5 ; 
#703, 67, 5 ; 
#704, 69, 5 ; 
#705, 72, 6 ; 
#706, 74, 6 ; 
#707, 77, 6 ; 
#708, 79, 6 ; 
#709, 82, 6 ; 
#710, 85, 7 ; 
#711, 87, 7 ; 
#712, 90, 7 ; 
#713, 93, 7 ; 
#714, 96, 7 ; 
#715, 99, 8 ; 
#716, 102, 8 ; 
#717, 106, 8 ; 
#718, 109, 8 ; 
#719, 113, 8 ; 
#720, 116, 8 ; 
#721, 120, 8 ; 
#722, 123, 9 ; 
#723, 127, 9 ; 
#724, 131, 9 ; 
#725, 135, 9 ; 
#726, 139, 9 ; 
#727, 143, 9 ; 
#728, 147, 10 ; 
#729, 151, 10 ; 
#730, 155, 10 ; 
#731, 159, 10 ; 
#732, 163, 10 ; 
#733, 168, 11 ; 
#734, 173, 11 ; 
#735, 177, 11 ; 
#736, 182, 11 ; 
#737, 187, 12 ; 
#738, 192, 12 ; 
#739, 197, 12 ; 
#740, 202, 12 ; 
#741, 207, 13 ; 
#742, 212, 13 ; 
#743, 218, 13 ; 
#744, 223, 13 ; 
#745, 229, 14 ; 
#746, 234, 14 ; 
#747, 240, 14 ; 
#748, 246, 15 ; 
#749, 252, 15 ; 
#750, 258, 15 ; 
#751, 264, 15 ; 
#752, 270, 16 ; 
#753, 276, 16 ; 
#754, 282, 16 ; 
#755, 288, 17 ; 
#756, 294, 17 ; 
#757, 301, 17 ; 
#758, 307, 17 ; 
#759, 314, 18 ; 
#760, 321, 18 ; 
#761, 327, 18 ; 
#762, 334, 18 ; 
#763, 341, 19 ; 
#764, 348, 19 ; 
#765, 355, 19 ; 
#766, 363, 20 ; 
#767, 370, 20 ; 
#768, 377, 20 ; 
#769, 385, 21 ; 
#770, 392, 21 ; 
#771, 400, 21 ; 
#772, 407, 22 ; 
#773, 415, 22 ; 
#774, 423, 23 ; 
#775, 431, 23 ; 
#776, 439, 23 ; 
#777, 447, 24 ; 
#778, 455, 24 ; 
#779, 463, 24 ; 
#780, 472, 25 ; 
#781, 480, 25 ; 
#782, 488, 26 ; 
#783, 497, 26 ; 
#784, 505, 27 ; 
#785, 514, 27 ; 
#786, 522, 28 ; 
#787, 531, 28 ; 
#788, 539, 28 ; 
#789, 548, 29 ; 
#790, 557, 29 ; 
#791, 566, 30 ; 
#792, 575, 30 ; 
#793, 584, 31 ; 
#794, 593, 31 ; 
#795, 603, 32 ; 
#796, 612, 32 ; 
#797, 622, 33 ; 
#798, 631, 33 ; 
#799, 641, 33 ; 
#800, 650, 34 ; 
#801, 660, 34 ; 
#802, 670, 35 ; 
#803, 680, 35 ; 
#804, 690, 36 ; 
#805, 700, 36 ; 
#806, 710, 37 ; 
#807, 720, 37 ; 
#808, 730, 38 ; 
#809, 740, 38 ; 
#810, 751, 39 ; 
#811, 761, 39 ; 
#812, 771, 40 ; 
#813, 782, 41 ; 
#814, 792, 41 ; 
#815, 803, 42 ; 
#816, 814, 43 ; 
#817, 824, 43 ; 
#818, 835, 44 ; 
#819, 846, 45 ; 
#820, 856, 45 ; 
#821, 867, 46 ; 
#822, 878, 47 ; 
#823, 890, 47 ; 
#824, 901, 48 ; 
#825, 912, 49 ; 
#826, 924, 49 ; 
#827, 935, 50 ; 
#828, 946, 51 ; 
#829, 958, 51 ; 
#830, 969, 52 ; 
#831, 981, 53 ; 
#832, 992, 54 ; 
#833, 1004, 54 ; 
#834, 1015, 55 ; 
#835, 1027, 56 ; 
#836, 1038, 57 ; 
#837, 1050, 57 ; 
#838, 1062, 58 ; 
#839, 1074, 59 ; 
#840, 1086, 60 ; 
#841, 1098, 60 ; 
#842, 1110, 61 ; 
#843, 1122, 62 ; 
#844, 1134, 62 ; 
#845, 1146, 63 ; 
#846, 1158, 64 ; 
#847, 1170, 65 ; 
#848, 1182, 66 ; 
