            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
         0.336429                0            0.002     -3.99352e+06          24676.1         -38548.9
          0.33657                0            0.002     -3.98901e+06          23838.5         -38763.1
          0.33671                0            0.002      -3.9845e+06            23001         -38977.4
          0.33685                0            0.002     -3.97999e+06          22163.6         -39191.6
          0.33699                0            0.002     -3.97548e+06          21325.9         -39405.9
          0.33713                0            0.002     -3.97097e+06          20488.5         -39620.1
          0.33727                0            0.002     -3.96646e+06            19651         -39834.4
          0.33741                0            0.002     -3.96195e+06          18813.3         -40048.6
         0.337551                0            0.002     -3.95744e+06          17975.9         -40262.9
         0.337691                0            0.002     -3.95293e+06          17138.4         -40477.1
         0.337831                0            0.002     -3.94842e+06          16300.8         -40691.4
         0.337971                0            0.002     -3.94391e+06          15463.3         -40905.6
         0.338111                0            0.002      -3.9394e+06          14625.8         -41119.8
         0.338251                0            0.002     -3.93489e+06          13788.2         -41334.1
         0.338391                0            0.002     -3.93037e+06          12950.7         -41548.4
         0.338532                0            0.002     -3.92587e+06          12113.3         -41762.6
         0.338672                0            0.002     -3.92135e+06          11275.6         -41976.9
         0.338812                0            0.002     -3.91684e+06          10438.2         -42191.1
         0.338952                0            0.002     -3.91233e+06          9600.69         -42405.3
         0.339092                0            0.002     -3.90782e+06          8763.04         -42619.6
         0.339232                0            0.002     -3.90331e+06          7925.56         -42833.8
         0.339372                0            0.002      -3.8988e+06           7088.1         -43048.1
         0.339513                0            0.002     -3.89429e+06          6250.46         -43262.4
         0.339653                0            0.002     -3.88978e+06             5413         -43476.6
         0.339793                0            0.002     -3.88527e+06          4575.53         -43690.8
         0.339933                0            0.002     -3.88076e+06          3738.07         -43905.1
         0.340073                0            0.002     -3.87625e+06          2900.42         -44119.3
         0.340213                0            0.002     -3.87186e+06          2010.74         -44181.6
         0.340353                0            0.002     -3.86766e+06          1045.33         -44023.2
         0.340493                0            0.002     -3.86345e+06          79.7266         -43864.8
         0.340634                0            0.002     -3.85924e+06         -885.711         -43706.5
         0.340774                0            0.002     -3.85503e+06         -1851.13         -43548.1
         0.340914                0            0.002     -3.85082e+06         -2816.73         -43389.7
         0.341054                0            0.002     -3.84662e+06         -3782.16         -43231.4
         0.341194                0            0.002     -3.84241e+06         -4747.58           -43073
         0.341334                0            0.002      -3.8382e+06         -5713.21         -42914.6
         0.341474                0            0.002     -3.83399e+06         -6678.62         -42756.3
         0.341615                0            0.002     -3.82979e+06         -7644.05         -42597.9
         0.341755                0            0.002     -3.82558e+06         -8609.66         -42439.5
         0.341895                0            0.002     -3.82137e+06         -9575.09         -42281.2
         0.342035                0            0.002     -3.81716e+06         -10540.5         -42122.8
         0.342175                0            0.002     -3.81295e+06         -11506.1         -41964.4
         0.342315                0            0.002     -3.80855e+06         -11446.6         -42548.3
         0.342455                0            0.002     -3.80411e+06         -11195.3         -43271.1
         0.342596                0            0.002     -3.79967e+06           -10944           -43994
         0.342736                0            0.002     -3.79523e+06         -10692.7         -44716.7
         0.342876                0            0.002     -3.79079e+06         -10441.4         -45439.4
         0.343016                0            0.002     -3.78635e+06         -10190.1         -46162.3
         0.343156                0            0.002     -3.78191e+06         -9938.88         -46885.1
         0.343296                0            0.002     -3.77746e+06         -9687.63         -47607.8
         0.343436                0            0.002     -3.77302e+06         -9436.31         -48330.7
         0.343577                0            0.002     -3.76858e+06         -9185.04         -49053.4
         0.343717                0            0.002     -3.76379e+06         -8974.24         -49178.2
         0.343857                0            0.002     -3.75884e+06         -8781.29         -49037.2
         0.343997                0            0.002     -3.75388e+06         -8588.43         -48896.3
         0.344137                0            0.002     -3.74893e+06         -8395.57         -48755.4
         0.344277                0            0.002     -3.74398e+06         -8202.71         -48614.4
         0.344417                0            0.002     -3.73903e+06          -8009.8         -48473.5
         0.344558                0            0.002     -3.73407e+06         -7816.94         -48332.5
         0.344698                0            0.002     -3.72912e+06         -7624.07         -48191.6
         0.344838                0            0.002     -3.72417e+06         -7431.18         -48050.6
         0.344978                0            0.002     -3.71922e+06         -7238.32         -47909.7
         0.345118                0            0.002     -3.71427e+06         -7045.45         -47768.8
         0.345258                0            0.002     -3.70931e+06         -6852.52         -47627.8
         0.345398                0            0.002     -3.70436e+06         -6659.68         -47486.9
         0.345539                0            0.002     -3.69941e+06         -6466.82           -47346
         0.345679                0            0.002     -3.69446e+06         -6273.89           -47205
         0.345819                0            0.002      -3.6895e+06         -6081.04         -47064.1
         0.345959                0            0.002     -3.68455e+06         -5888.19         -46923.2
         0.346099                0            0.002      -3.6796e+06         -5695.29         -46782.2
         0.346239                0            0.002     -3.67465e+06         -5502.41         -46641.3
         0.346379                0            0.002     -3.66969e+06         -5309.55         -46500.3
          0.34652                0            0.002     -3.66474e+06         -5116.64         -46359.4
          0.34666                0            0.002     -3.65979e+06         -4923.79         -46218.5
           0.3468                0            0.002     -3.65484e+06         -4730.93         -46077.5
          0.34694                0            0.002     -3.64988e+06         -4538.01         -45936.6
          0.34708                0            0.002     -3.64493e+06         -4345.15         -45795.6
          0.34722                0            0.002     -3.63998e+06         -4152.29         -45654.7
          0.34736                0            0.002     -3.63503e+06         -3959.38         -45513.8
         0.347501                0            0.002     -3.63007e+06         -3766.53         -45372.8
         0.347641                0            0.002     -3.62512e+06         -3573.67         -45231.9
         0.347781                0            0.002     -3.62017e+06         -3380.75         -45090.9
         0.347921                0            0.002     -3.61522e+06         -3187.88           -44950
         0.348061                0            0.002     -3.61027e+06         -2995.02         -44809.1
         0.348201                0            0.002     -3.60531e+06         -2802.09         -44668.1
         0.348341                0            0.002     -3.60036e+06         -2609.23         -44527.2
         0.348481                0            0.002     -3.59541e+06         -2416.36         -44386.3
         0.348622                0            0.002     -3.59046e+06         -2223.53         -44245.3
         0.348762                0            0.002      -3.5855e+06          -2030.6         -44104.4
         0.348902                0            0.002     -3.58055e+06         -1837.75         -43963.4
         0.349042                0            0.002      -3.5756e+06         -1644.88         -43822.5
         0.349182                0            0.002     -3.57065e+06         -1451.96         -43681.5
         0.349322                0            0.002     -3.56569e+06         -1259.13         -43540.6
         0.349462                0            0.002     -3.56074e+06         -1066.27         -43399.7
         0.349603                0            0.002     -3.55579e+06         -873.348         -43258.7
         0.349743                0            0.002     -3.55084e+06         -680.484         -43117.8
         0.349883                0            0.002     -3.54589e+06         -487.617         -42976.9
         0.350023                0            0.002     -3.54093e+06         -294.707         -42835.9
         0.350163                0            0.002     -3.53598e+06         -101.855           -42695
         0.350303                0            0.002     -3.53103e+06          91.0195         -42554.1
         0.350443                0            0.002     -3.52608e+06          283.918         -42413.1
         0.350584                0            0.002     -3.52112e+06          476.785         -42272.2
         0.350724                0            0.002     -3.51617e+06          669.641         -42131.2
         0.350864                0            0.002     -3.51122e+06          862.559         -41990.3
         0.351004                0            0.002     -3.50627e+06          1055.42         -41849.4
         0.351144                0            0.002     -3.50131e+06          1248.27         -41708.4
         0.351284                0            0.002     -3.49636e+06          1441.18         -41567.5
         0.351424                0            0.002     -3.49141e+06          1634.06         -41426.5
         0.351565                0            0.002     -3.48646e+06          1826.91         -41285.6
         0.351705                0            0.002      -3.4815e+06          2019.82         -41144.7
         0.351845                0            0.002     -3.47691e+06          2095.05         -41125.3
         0.351985                0            0.002     -3.47248e+06          2117.23         -41160.7
         0.352125                0            0.002     -3.46805e+06          2139.44         -41196.2
         0.352265                0            0.002     -3.46361e+06          2161.63         -41231.6
         0.352405                0            0.002     -3.45918e+06          2183.84         -41267.1
         0.352546                0            0.002     -3.45475e+06          2206.07         -41302.5
         0.352686                0            0.002     -3.45032e+06          2228.28           -41338
         0.352826                0            0.002     -3.44589e+06          2250.49         -41373.4
         0.352966                0            0.002     -3.44145e+06          2272.67         -41408.9
         0.353106                0            0.002     -3.43702e+06          2294.88         -41444.3
         0.353246                0            0.002     -3.43259e+06          2317.09         -41479.7
         0.353386                0            0.002     -3.42816e+06          2339.29         -41515.2
         0.353527                0            0.002     -3.42372e+06           2361.5         -41550.6
         0.353667                0            0.002     -3.41929e+06           2383.7         -41586.1
         0.353807                0            0.002     -3.41486e+06           2405.9         -41621.5
         0.353947                0            0.002     -3.41043e+06          2428.11         -41656.9
         0.354087                0            0.002       -3.406e+06          2450.33         -41692.4
         0.354227                0            0.002     -3.40156e+06          2472.52         -41727.8
         0.354367                0            0.002     -3.39713e+06          2494.72         -41763.3
         0.354508                0            0.002      -3.3927e+06          2516.94         -41798.7
         0.354648                0            0.002     -3.38827e+06          2539.13         -41834.2
         0.354788                0            0.002     -3.38383e+06          2561.34         -41869.6
